,os,browser,app,label
0,Linux,Chrome,dropbox,11101
1,Linux,Chrome,facebook,12101
2,Linux,Chrome,google,13101
3,Linux,Chrome,imgur,18101
4,Linux,Chrome,microsoft,14101
5,Linux,Chrome,soundcloud,18101
6,Linux,Chrome,teamviewer,15101
7,Linux,Chrome,twitter,16101
8,Linux,Chrome,unknown,18101
9,Linux,Chrome,vine,18101
10,Linux,Chrome,whatsapp,18101
11,Linux,Chrome,wireshark,18101
12,Linux,Chrome,youtube,17101
13,Windows,Chrome,dropbox,11102
14,Windows,Chrome,facebook,12102
15,Windows,Chrome,google,13102
16,Windows,Chrome,imgur,18102
17,Windows,Chrome,microsoft,14102
18,Windows,Chrome,soundcloud,18102
19,Windows,Chrome,teamviewer,15102
20,Windows,Chrome,twitter,16102
21,Windows,Chrome,unknown,18102
22,Windows,Chrome,vine,18102
23,Windows,Chrome,whatsapp,18102
24,Windows,Chrome,wireshark,18102
25,Windows,Chrome,youtube,17102
26,OSX,Chrome,dropbox,11103
27,OSX,Chrome,facebook,12103
28,OSX,Chrome,google,13103
29,OSX,Chrome,imgur,18103
30,OSX,Chrome,microsoft,14103
31,OSX,Chrome,soundcloud,18103
32,OSX,Chrome,teamviewer,15103
33,OSX,Chrome,twitter,16103
34,OSX,Chrome,unknown,18103
35,OSX,Chrome,vine,18103
36,OSX,Chrome,whatsapp,18103
37,OSX,Chrome,wireshark,18103
38,OSX,Chrome,youtube,17103
39,OSX,Chrome,dropbox,11103
40,OSX,Chrome,facebook,12103
41,OSX,Chrome,google,13103
42,OSX,Chrome,imgur,18103
43,OSX,Chrome,microsoft,14103
44,OSX,Chrome,soundcloud,18103
45,OSX,Chrome,teamviewer,15103
46,OSX,Chrome,twitter,16103
47,OSX,Chrome,unknown,18103
48,OSX,Chrome,vine,18103
49,OSX,Chrome,whatsapp,18103
50,OSX,Chrome,wireshark,18103
51,OSX,Chrome,youtube,17103
52,Linux,Firefox,dropbox,11201
53,Linux,Firefox,facebook,12201
54,Linux,Firefox,google,13201
55,Linux,Firefox,imgur,18201
56,Linux,Firefox,microsoft,14201
57,Linux,Firefox,soundcloud,18201
58,Linux,Firefox,teamviewer,15201
59,Linux,Firefox,twitter,16201
60,Linux,Firefox,unknown,18201
61,Linux,Firefox,vine,18201
62,Linux,Firefox,whatsapp,18201
63,Linux,Firefox,wireshark,18201
64,Linux,Firefox,youtube,17201
65,Windows,Firefox,dropbox,11202
66,Windows,Firefox,facebook,12202
67,Windows,Firefox,google,13202
68,Windows,Firefox,imgur,18202
69,Windows,Firefox,microsoft,14202
70,Windows,Firefox,soundcloud,18202
71,Windows,Firefox,teamviewer,15202
72,Windows,Firefox,twitter,16202
73,Windows,Firefox,unknown,18202
74,Windows,Firefox,vine,18202
75,Windows,Firefox,whatsapp,18202
76,Windows,Firefox,wireshark,18202
77,Windows,Firefox,youtube,17202
78,OSX,Firefox,dropbox,11203
79,OSX,Firefox,facebook,12203
80,OSX,Firefox,google,13203
81,OSX,Firefox,imgur,18203
82,OSX,Firefox,microsoft,14203
83,OSX,Firefox,soundcloud,18203
84,OSX,Firefox,teamviewer,15203
85,OSX,Firefox,twitter,16203
86,OSX,Firefox,unknown,18203
87,OSX,Firefox,vine,18203
88,OSX,Firefox,whatsapp,18203
89,OSX,Firefox,wireshark,18203
90,OSX,Firefox,youtube,17203
91,OSX,Firefox,dropbox,11203
92,OSX,Firefox,facebook,12203
93,OSX,Firefox,google,13203
